idx;dE
10_48;24.920541299321634
10_49;15.378156807404146
10_50;50.73697480932586
11_1;17.770879269847473
11_2;36.239214043037265
11_3;42.506472933792374
11_4;27.34219634137182
11_5;39.49747841786484
11_6;42.41673765563253
11_7;48.46421122512318
11_8;8.58984330072851
11_9;36.35869268660886
11_10;35.80234394092002
11_11;35.11620397990275
11_12;48.115024489398024
11_13;16.436544123481852
11_14;41.19178686956761
11_15;32.56300205941584
11_16;50.09429920426466
11_17;32.18398464288457
11_18;40.57116151999252
11_19;36.02228206412464
11_20;52.431741666849085
11_21;29.520971140345917
11_22;49.342775604896765
11_23;50.05742716058374
11_24;29.158188150354114
11_25;27.586567182966146
11_26;39.982531025641215
11_27;44.98201716620538
11_28;28.40474673071696
11_29;32.437960177859914
11_30;15.57575778168399
11_31;29.57537798626108
11_32;34.128426752210274
11_33;19.329063021722835
11_34;9.320052588648583
11_35;49.111445941133425
11_36;52.72221191826539
11_37;34.45088562203649
11_38;48.80011042886895
11_39;46.53678314407242
11_40;13.521270209785897
11_41;50.400090188986454
11_42;17.863729836542266
11_43;45.08819268576287
11_44;43.71629009096829
11_45;22.223003913529315
11_46;40.17977961993664
11_47;44.68153059169173
11_48;22.892011346807838
11_49;28.016024831782516
11_50;26.10783732156322
12_1;33.146044368527264
12_2;43.66080739465818
12_3;52.20988884178215
12_4;41.77954109156823
12_5;43.87246614743207
12_6;51.31440710434882
12_7;28.26024287143668
12_8;28.622969730103527
12_9;51.207483167125275
12_10;37.57706051561944
12_11;40.197744762328874
12_12;32.97093022670539
12_13;46.42136778474611
12_14;30.998859031874527
12_15;39.02412607293442
12_16;40.19869587644614
12_17;44.82554486108213
12_18;26.38158979336404
12_19;31.240962791622096
12_20;45.50013736119358
12_21;52.48817859568342
12_22;18.424734363795352
12_23;46.10999173319138
12_24;20.74710244722268
12_25;47.12315279339085
12_26;12.747328382912752
12_27;19.921320223347546
12_28;52.00533382002189
12_29;42.597312128009655
12_30;21.42967183229149
12_31;42.24623563767771
12_32;51.65328126831713
12_33;34.89436674687054
12_34;23.3838807921592
12_35;32.516805978978674
12_36;29.47635921063523
12_37;22.454854351251946
12_38;36.41181786727091
12_39;37.28520257311401
12_40;44.55274350339858
12_41;52.04243350740957
12_42;28.089821932062353
12_43;36.77316639006944
12_44;35.19906940756961
12_45;47.01379338034568
12_46;49.621498817362955
12_47;51.871744385038234
12_48;46.63502543636975
12_49;39.25292670866788
12_50;44.91719172269736
13_1;24.438317086641536
13_2;42.14513064780773
13_3;33.47505812974533
13_4;28.42464528541316
13_5;35.91525521947201
13_6;17.771228531424967
13_7;44.39067053940771
13_8;22.932216967509632
13_9;49.42422839421895
13_10;50.611854967596386
13_11;50.04904800113088
13_12;50.2434307794467
13_13;29.953026422144873
13_14;43.018730523729815
13_15;51.573387682465906
13_16;35.38697525466712
13_17;20.86580148905881
13_18;51.02509378190797
13_19;34.50116057875365
13_20;52.6002853252444
13_21;15.702237248840136
13_22;29.722220650747772
13_23;49.096134563048736
13_24;43.5857722868224
13_25;34.88241701146921
13_26;46.286075699572166
13_27;42.46366032488716
13_28;52.08413596344348
13_29;51.64712865142079
13_30;26.765727634093906
13_31;45.06102512448512
13_32;26.464333603160163
13_33;44.27843595516211
13_34;26.78693280129876
13_35;39.91130661108844
13_36;38.335641069896845
13_37;48.874181948959674
13_38;33.38424076437665
13_39;31.00152526980984
13_40;12.04728344534159
13_41;36.630717560963866
13_42;38.65184129699068
13_43;26.18965808290455
13_44;46.29677807219676
13_45;52.70522907405985
13_46;39.55538099796186
13_47;46.52602775852984
13_48;38.63138766585881
13_49;14.703215045715202
13_50;52.17154179161771
14_1;28.663658703881314
14_2;20.87546855057867
14_3;40.18196874160985
14_4;46.24854567202652
14_5;42.67869943078606
14_6;20.050871321341454
14_7;18.388049424530948
14_8;44.82000345194639
14_9;42.79133317112021
14_10;41.11416348397007
14_11;34.60370939103772
14_12;48.49753764011116
14_13;24.16633898839065
14_14;24.784656716828746
14_15;31.01205924845955
14_16;28.033728027991625
14_17;51.034916763774916
14_18;31.245861808927806
14_19;50.50363377308499
14_20;24.65001014189178
14_21;48.55405252911905
14_22;37.36949934956721
14_23;20.443478755325494
14_24;44.278517033742595
14_25;40.48724518918623
14_26;36.44322022517575
14_27;49.814409707602195
14_28;42.220037900958886
14_29;4.872714699622545
14_30;48.54406427168418
14_31;37.54693358615385
14_32;33.295696717668605
14_33;45.14419303762535
14_34;45.73300128117233
14_35;39.691727104682144
14_36;45.263235104225075
14_37;37.76413686647042
14_38;41.36175563993536
14_39;27.133839981549393
14_40;24.979541558662206
14_41;50.792435676787385
14_42;33.81967639930062
14_43;38.20614922163483
14_44;36.42962085250217
14_45;18.630424485682465
14_46;22.943468179755975
14_47;39.48492371151678
14_48;35.30501728342035
14_49;44.579614816016864
14_50;25.74031123461281
15_1;50.1125481216886
15_2;36.058396334918676
15_3;47.099028797288376
15_4;21.92580413993242
15_5;44.21078835337167
15_6;38.53476382676434
15_7;12.637339051665323
15_8;37.678408741230896
15_9;39.331173775653795
15_10;36.55137905154829
15_11;40.04593135717681
15_12;43.57669772262151
15_13;26.55471750996393
15_14;26.94199246807734
15_15;34.50213040331258
15_16;49.38180246777453
15_17;43.203505490257676
15_18;43.394096285732154
15_19;9.908121769750334
15_20;28.780293360321913
15_21;43.87003067161046
15_22;15.333735100516911
15_23;36.725361211650245
15_24;45.89710432808238
15_25;28.843413035232725
15_26;14.27605254440807
15_27;27.329548082815517
15_28;45.9253633317898
15_29;41.70090734212152
15_30;36.46917472615311
15_31;47.30122942180751
15_32;49.61075590544814
15_33;51.439564366961605
15_34;41.41312515748912
15_35;38.018913832029824
15_36;31.69165055489885
15_37;52.79448411755064
15_38;23.928077105995495
15_39;40.87004835174498
15_40;44.014225808603484
15_41;36.29941177064352
15_42;43.505124046491225
15_43;32.06280334912269
15_44;38.8084383383916
15_45;24.971645752285333
15_46;4.7990766380967385
15_47;49.13842951640161
15_48;50.879124271364994
15_49;13.12250080368468
15_50;50.83271613925578
16_1;51.32279873742945
16_2;44.080024195077364
16_3;42.940517759220256
16_4;48.841245334839414
16_5;51.88661606774413
16_6;52.018462313247255
16_7;36.14590195211506
16_8;46.857233759828055
16_9;36.60260200397579
16_10;50.884447392014806
16_11;38.51413868325067
16_12;47.34780906629853
16_13;33.818516351918234
16_14;12.378941615646376
16_15;31.85592511419071
16_16;39.03956530570371
16_17;26.306651356143462
16_18;47.36465781900557
16_19;42.82694225998966
16_20;47.252323445737844
16_21;23.47750784218253
16_22;27.50538569504791
16_23;27.35726760212198
16_24;25.14627030421734
16_25;43.99565257685759
16_26;38.809458057461605
16_27;41.13350696223061
16_28;49.39333745505258
16_29;25.226238731835178
16_30;24.652638958943804
16_31;46.00355426745076
16_32;45.456492137634875
16_33;48.8700375861339
16_34;52.08897884942422
16_35;35.100558932275284
16_36;17.973167209760984
16_37;52.0250546255224
16_38;45.48989963120335
16_39;39.66993255856527
16_40;47.9745371382589
16_41;44.52696051480303
16_42;38.82550537958458
16_43;38.028431210016485
16_44;52.38870141423711
16_45;51.11791316453334
16_46;51.195539668537826
16_47;24.653892558534437
16_48;32.79128503959696
16_49;31.605657365069277
16_50;35.56863805106696
17_1;36.724700109378574
17_2;35.98267829596262
17_3;36.302573835282594
17_4;38.30759099945453
17_5;41.02403840494247
17_6;34.573074161240584
17_7;46.36658672999791
17_8;41.56945713429999
17_9;29.129455148791536
17_10;48.70492105696773
17_11;15.881929212052706
17_12;13.866721093994666
17_13;41.7205813715179
17_14;44.14179983659623
17_15;28.141119726256456
17_16;38.41685997869838
17_17;44.710934050746815
17_18;47.59106351820766
17_19;39.136600774514534
17_20;11.126096679486245
17_21;38.06027638170706
17_22;47.22098345597183
17_23;24.149144092513065
17_24;16.86021712742101
17_25;23.109732282676767
17_26;44.63469835623841
17_27;23.64204434765751
17_28;46.38596139232788
17_29;35.41162002472888
17_30;47.554818274322066
17_31;34.3332468385606
17_32;31.401763445580695
17_33;48.143776201402254
17_34;8.510860289704304
17_35;25.129496393276902
17_36;38.73995500354074
17_37;16.80113578949995
17_38;41.99861229764301
17_39;47.10987773503921
17_40;39.12157005305462
17_41;49.40610733147962
17_42;52.01328887613065
17_43;28.903280211703144
17_44;11.464556095331295
17_45;39.635711160784965
17_46;30.920970581686927
17_47;47.096811609952695
17_48;29.50362656093512
17_49;33.38985389687205
17_50;31.51813927424512
18_1;39.34843415807717
18_2;14.676072431692985
18_3;41.20799634885156
18_4;43.7093890564059
18_5;28.23968945128268
18_6;47.755359906348126
18_7;25.77222501125611
18_8;46.94777670538585
18_9;29.233329284025917
18_10;48.16102411019786
18_11;37.58782213797591
18_12;39.28553589005923
18_13;39.41041873286113
18_14;47.29388245505241
18_15;17.804598604110133
18_16;48.56601785655509
18_17;29.087344181448245
18_18;41.0877911164625
18_19;27.386976665057375
18_20;152.71695246879335
18_21;52.21759754374252
18_22;50.73237515908656
18_23;30.276112091766397
18_24;18.61324830024653
18_25;45.45953258440321
18_26;32.427463620093505
18_27;20.62560931276662
18_28;21.2741568780994
18_29;27.19097855194566
18_30;35.341331132258674
18_31;32.512630432083476
18_32;21.39951995557035
18_33;39.65565337317836
18_34;38.041553466427956
18_35;13.536266628769454
18_36;48.08936935548709
18_37;31.9195343789914
18_38;51.460042945348995
18_39;15.398420215712548
18_40;28.69614626740193
18_41;36.65639764213035
18_42;42.424705185369056
18_43;23.086793281212213
18_44;14.002686755068043
18_45;52.38051871442159
18_46;48.225066833563474
18_47;45.80420386687651
18_48;49.35291042745791
18_49;42.801352612624505
18_50;25.393188884283184
19_1;51.82330928841679
19_2;43.744274674864826
19_3;36.82839025860338
19_4;45.866575124121276
19_5;30.12892952092304
19_6;37.7744899775175
19_7;36.72540798775439
19_8;26.07440488073921
19_9;22.480493893128173
19_10;49.7054868715289
19_11;30.908104034644687
19_12;44.01122590112538
19_13;29.801350226898247
19_14;45.18359099092919
19_15;21.425087774086908
19_16;39.561558562113746
19_17;34.01509448872115
19_18;19.293079724020355
19_19;35.823614594670666
19_20;49.69168168399714
19_21;29.535633889786684
19_22;32.16351541971799
19_23;32.0619114847373
19_24;51.9104063943038
19_25;28.45967746899836
19_26;40.833647187512284
19_27;44.87303819880712
19_28;49.03858748134308
19_29;42.224911971009064
19_30;48.71683337148574
19_31;51.401663248989856
19_32;47.655717449333885
19_33;49.16391625633768
19_34;46.79827403977772
19_35;27.187417331218022
19_36;47.24776121638185
19_37;44.93624207070537
19_38;48.6079074170055
19_39;37.27708535984428
19_40;49.81412593257048
19_41;31.722114272314187
19_42;37.99435325895549
19_43;21.39298689302709
19_44;43.31505714338299
19_45;28.231484922618563
19_46;44.054029154809776
19_47;50.341601348384344
19_48;39.059211269437625
19_49;25.20691708242322
19_50;37.49479694049237
20_1;39.01523237633614
20_2;21.12252122214302
20_3;42.26807695989871
20_4;44.75350342391057
20_5;32.08932540016347
20_6;48.14251012818385
20_7;47.37031460919816
20_8;37.1290982400099
20_9;51.623709415287195
20_10;19.959024881681945
20_11;38.428451097301405
20_12;36.29657713873335
20_13;42.72461173619152
20_14;49.02952850917689
20_15;47.48991798904744
20_16;51.75734562637498
20_17;45.94434507484508
20_18;34.94294217180436
20_19;41.22975659249207
20_20;31.00948968113943
20_21;19.8125876100977
20_22;25.406813204212302
20_23;13.890873155759612
20_24;36.74131498156496
20_25;26.81152144003557
20_26;40.96271805083714
20_27;43.79343324189679
20_28;44.72877445686138
20_29;34.23710323413516
20_30;46.62257363745077
20_31;42.83788786835569
20_32;30.668763183447627
20_33;31.35010391618133
20_34;46.37900734484746
20_35;10.144999079463297
20_36;29.043583576832685
20_37;32.27785492864936
20_38;32.988624067693685
20_39;48.88810563595522
20_40;26.882356053720613
20_41;47.7531707846749
20_42;29.99374346158514
20_43;40.34997291560421
20_44;50.39138359680471
20_45;38.373136794966136
20_46;7.633783390042004
20_47;47.87618570171861
20_48;20.010300847027455
20_49;38.30436656667663
20_50;31.255070464627206
21_1;51.74937497823151
21_2;26.41526546992952
21_3;39.52571559272366
21_4;23.44049235178229
21_5;39.64031081102426
21_6;43.884949130420466
21_7;47.79610501145086
21_8;25.8750794274205
21_9;44.11674967363202
21_10;32.94116815085199
21_11;52.68045333090652
21_12;47.43501843483545
21_13;52.28136272889029
21_14;44.68939833240613
21_15;47.07047354492149
21_16;49.29430308739202
21_17;49.54869648889757
21_18;36.15979133663424
21_19;49.50981930955302
21_20;48.26316441117254
21_21;16.798631708725615
21_22;41.794609233911444
21_23;42.72645159628723
21_24;44.112293470112064
21_25;52.44484209441197
21_26;36.11128451665314
21_27;52.138483559626735
21_28;51.67800088014551
21_29;25.680344269120248
21_30;48.36965488983117
21_31;39.21738310634421
21_32;18.79959806228003
21_33;39.774474032885216
21_34;33.79996806742786
21_35;36.41981658107686
21_36;47.9270874582311
21_37;50.23899952318227
21_38;23.788185370582273
21_39;35.71555243891331
21_40;39.8149166525146
21_41;46.412071813652325
21_42;35.3357803679021
21_43;31.75745517818663
21_44;31.02679683966693
21_45;45.05812188762222
21_46;25.625797094892693
21_47;22.14110519201444
21_48;46.381770253397974
21_49;42.598949291654144
21_50;48.11933724619866
22_1;46.24499068811278
22_2;47.3741814338061
22_3;24.512073647631134
22_4;50.17892965026061
22_5;43.434467182001875
22_6;40.88950097424849
22_7;28.260900855301422
22_8;40.930258552979005
22_9;37.775384960309815
22_10;48.253263469132044
22_11;10.31668609205603
22_12;33.24056951974986
22_13;47.96274020479774
22_14;43.601195927556994
22_15;49.52784993849103
22_16;40.06838388715841
22_17;24.11929158285835
22_18;9.372161168647578
22_19;52.59432293117151
22_20;45.249676270841746
22_21;60.27484318322263
22_22;33.573584197074375
22_23;39.12712393581813
22_24;48.272045634143055
22_25;46.3353278188124
22_26;42.36443573440314
22_27;28.118099646211423
22_28;28.41700518840553
22_29;52.36031143743814
22_30;44.48385789405222
22_31;36.81549564589867
22_32;52.32542270057226
22_33;41.46400508515302
22_34;36.966666659220714
22_35;39.904776666952124
22_36;44.754345393784874
22_37;23.14279986988857
22_38;23.275319691291163
22_39;45.087793529674315
22_40;49.99053733168018
22_41;41.40468674830437
22_42;46.496487089569314
22_43;52.028986936676134
22_44;49.59109434967951
22_45;52.724600617982865
22_46;47.92915496203357
22_47;44.47570014149223
22_48;36.312106805303955
22_49;46.222762683430965
22_50;46.14282543988254
23_1;21.200718394617873
23_2;28.560470618174154
23_3;39.06174029746751
23_4;33.5604619406629
23_5;40.72653926427916
23_6;19.88489411185932
23_7;34.43128019759282
23_8;44.91526454720727
23_9;36.55784662754578
23_10;31.08811719377227
23_11;34.70640788685501
23_12;29.30249866840399
23_13;17.928698726769618
23_14;31.615973055233052
23_15;34.427223150161424
