idx;dE
0_1;48.29706298638
0_2;0.0
0_3;0.0
0_4;39.765737266839984
0_5;0.0
0_6;43.80936598298524
0_7;0.0
0_8;50.682233510592106
0_9;52.356168596767574
0_10;0.0
0_11;0.0
0_12;0.0
0_13;31.844764037872658
0_14;46.39614176292274
0_15;0.0
0_16;0.0
0_17;0.0
0_18;0.0
0_19;0.0
0_20;0.0
0_21;0.0
0_22;0.0
0_23;0.0
0_24;0.0
0_25;0.0
0_26;42.75057324019156
0_27;32.97154355173774
0_28;41.59710008526773
0_29;0.0
0_30;0.0
0_31;39.87699674407487
0_32;14.88379674246727
0_33;0.0
0_34;50.57625582145067
0_35;0.0
0_36;0.0
0_37;0.0
0_38;0.0
0_39;0.0
0_40;21.493594318298506
0_41;0.0
0_42;0.0
0_43;0.39028788551998644
0_44;0.0
0_45;43.41287655376799
0_46;0.0
0_47;0.0
0_48;36.015056145857685
0_49;0.0
0_50;0.0
1_1;0.0
1_2;20.74183668563638
1_3;50.4072575005243
1_4;0.0
1_5;50.865272295623654
1_6;0.0
1_7;0.0
1_8;0.0
1_9;0.0
1_10;0.0
1_11;49.442608784724236
1_12;0.0
1_13;46.76985948448417
1_14;0.0
1_15;43.79779296941952
1_16;33.54727042786545
1_17;0.0
1_18;0.0
1_19;0.0
1_20;36.315003638075694
1_21;37.16944477733384
1_22;30.724178499862365
1_23;0.0
1_24;14.960509409992179
1_25;0.0
1_26;26.098328485398536
1_27;39.96351671430586
1_28;22.61148883086088
1_29;0.0
1_30;21.198509161559457
1_31;0.31170339187762386
1_32;38.39854041191574
1_33;0.0
1_34;27.967232905464115
1_35;8.095691361896272
1_36;0.0
1_37;12.301220941961256
1_38;41.9548382394956
1_39;0.0
1_40;0.0
1_41;13.941330674764064
1_42;0.0
1_43;0.0
1_44;0.0
1_45;0.0
1_46;0.0
1_47;0.0
1_48;46.51059093038211
1_49;0.0
1_50;14.607644558437928
2_1;35.02366200296336
2_2;41.96083095136655
2_3;0.0
2_4;0.0
2_5;37.86770535348235
2_6;29.430919273450872
2_7;0.0
2_8;27.495209068564385
2_9;0.0
2_10;9.76640530757626
2_11;0.0
2_12;40.411590887071185
2_13;0.0
2_14;45.52614738536074
2_15;0.0
2_16;39.63704097969452
2_17;47.147082517845064
2_18;0.0
2_19;30.518011013312744
2_20;16.376956528236988
2_21;7.908675049994291
2_22;0.0
2_23;47.907652243467275
2_24;0.0
2_25;24.17188366428305
2_26;43.53786699863845
2_27;35.878162747598296
2_28;32.99429033680156
2_29;46.14389270051222
2_30;0.0
2_31;41.03936198190313
2_32;16.073374068085588
2_33;32.59133302279227
2_34;19.489877268089916
2_35;0.0
2_36;34.904921912083694
2_37;0.0
2_38;1.2544865361899917
2_39;0.0
2_40;48.284385569573075
2_41;0.0
2_42;0.0
2_43;0.0
2_44;0.0
2_45;0.0
2_46;47.46425038884419
2_47;1.084044541309898
2_48;0.0
2_49;41.207722424384016
2_50;0.0
3_1;0.0
3_2;0.0
3_3;0.0
3_4;0.0
3_5;48.35127822247882
3_6;0.5508668837719595
3_7;16.86811043482885
3_8;0.0
